機構編號,機構名稱,行政區,類型,核准人數/班級,聯絡地址,聯絡電話,風險等級,綜合風險評分,首要稽核重點
ntpc-hs-0018,新北市私立東海高級中學,三重區,私立高中,1200,新北市三重區忠孝路三段93巷1號,02-2772-2703,低風險,31,中央廚房食材登錄平台每日食材驗收與溯源登錄稽查。；校舍樓梯走廊防墜設施、消防設備檢修合格證在效期內。
ntpc-hs-0017,新北市私立格致高級中學,三重區,私立高中,2200,新北市三重區大智街260號,02-2758-7805,低風險,24,中央廚房食材登錄平台每日食材驗收與溯源登錄稽查。；校舍樓梯走廊防墜設施、消防設備檢修合格證在效期內。
ntpc-hs-0054,新北市私立清傳高級商業職業學校,三重區,私立高職,900,新北市三重區三和路三段1號,02-2971-5514,低風險,30,商業實習設備檢定在效期內。；校舍耐震與防墜檢查合格。
ntpc-hs-0019,新北市私立穀保高級家事商業職業學校,三重區,私立高職,1800,新北市三重區中正北路560巷38號,02-2604-7920,低風險,24,中央廚房食材登錄平台每日食材驗收與溯源登錄稽查。；校舍樓梯走廊防墜設施、消防設備檢修合格證在效期內。
ntpc-hs-0016,新北市私立金陵女子高級中學,三重區,私立高中,1500,新北市三重區重新路五段656號,02-2580-1448,低風險,18,中央廚房食材登錄平台每日食材驗收與溯源登錄稽查。；校舍樓梯走廊防墜設施、消防設備檢修合格證在效期內。
ntpc-jh-0068,新北市立三和國民中學,三重區,市立國中,1600,新北市三重區三和路四段170號,02-2537-3131,低風險,36,中央廚房食材登錄平台每日食材驗收與溯源登錄稽查。；校舍樓梯走廊防墜設施、消防設備檢修合格證在效期內。
ntpc-el-0155,新北市立三和國民小學,三重區,市立國小,1850,新北市三重區三和路四段216號,02-2720-1209,中風險,57,中央廚房食材登錄平台每日食材驗收與溯源登錄稽查。；校舍樓梯走廊防墜設施、消防設備檢修合格證在效期內。
ntpc-jh-0065,新北市立三重國民中學,三重區,市立國中,1450,新北市三重區三和路三段46號,02-2213-3301,低風險,27,中央廚房食材登錄平台每日食材驗收與溯源登錄稽查。；校舍樓梯走廊防墜設施、消防設備檢修合格證在效期內。
ntpc-pre-0445,新北市立三重幼兒園,三重區,市立幼兒園,190,新北市三重區集美街212號,02-2769-8644,低風險,23,查核師生比是否符合法定標準（幼幼班 1:8、大中小班 1:15）。；核對現場教保服務人員之教師證、教保員資格備查冊。
ntpc-hs-0014,新北市立三重高級中學,三重區,市立高中,2000,新北市三重區集美街212號,02-2559-1852,低風險,25,中央廚房食材登錄平台每日食材驗收與溯源登錄稽查。；校舍樓梯走廊防墜設施、消防設備檢修合格證在效期內。
ntpc-hs-0015,新北市立三重高級商工職業學校,三重區,市立高職,2500,新北市三重區中正北路163號,02-2707-8387,低風險,36,中央廚房食材登錄平台每日食材驗收與溯源登錄稽查。；校舍樓梯走廊防墜設施、消防設備檢修合格證在效期內。
ntpc-jh-0067,新北市立二重國民中學,三重區,市立國中,1300,新北市三重區忠孝路三段89號,02-2467-1635,低風險,36,中央廚房食材登錄平台每日食材驗收與溯源登錄稽查。；校舍樓梯走廊防墜設施、消防設備檢修合格證在效期內。
ntpc-el-0158,新北市立二重國民小學,三重區,市立國小,1600,新北市三重區大有街10號,02-2330-1155,低風險,20,中央廚房食材登錄平台每日食材驗收與溯源登錄稽查。；校舍樓梯走廊防墜設施、消防設備檢修合格證在效期內。
ntpc-el-0162,新北市立五華國民小學,三重區,市立國小,2000,新北市三重區集賢路89號,02-2305-1910,低風險,23,中央廚房食材登錄平台每日食材驗收與溯源登錄稽查。；校舍樓梯走廊防墜設施、消防設備檢修合格證在效期內。
ntpc-el-0152,新北市立修德國民小學,三重區,市立國小,1950,新北市三重區重陽路三段3號,02-2442-1772,低風險,34,中央廚房食材登錄平台每日食材驗收與溯源登錄稽查。；校舍樓梯走廊防墜設施、消防設備檢修合格證在效期內。
ntpc-jh-0066,新北市立光榮國民中學,三重區,市立國中,1550,新北市三重區介壽路87號,02-2282-2088,低風險,25,中央廚房食材登錄平台每日食材驗收與溯源登錄稽查。；校舍樓梯走廊防墜設施、消防設備檢修合格證在效期內。
ntpc-el-0157,新北市立光榮國民小學,三重區,市立國小,1650,新北市三重區介壽路63號,02-2730-4949,中風險,51,中央廚房食材登錄平台每日食材驗收與溯源登錄稽查。；校舍樓梯走廊防墜設施、消防設備檢修合格證在效期內。
ntpc-el-0163,新北市立光興國民小學,三重區,市立國小,1550,新北市三重區光興街186號,02-2730-9288,中風險,64,中央廚房食材登錄平台每日食材驗收與溯源登錄稽查。；校舍樓梯走廊防墜設施、消防設備檢修合格證在效期內。
ntpc-el-0153,新北市立厚德國民小學,三重區,市立國小,1800,新北市三重區忠孝路一段70號,02-2689-4336,低風險,16,中央廚房食材登錄平台每日食材驗收與溯源登錄稽查。；校舍樓梯走廊防墜設施、消防設備檢修合格證在效期內。
ntpc-hs-0060,新北市立新北高級中學,三重區,市立高中,2100,新北市三重區三信路1號,02-2857-7326,低風險,26,中央廚房食材登錄平台每日食材驗收與溯源登錄稽查。；綜合大樓、體育館與教學區防墜設施、消防設備檢修合格證在效期內。
ntpc-jh-0069,新北市立明志國民中學,三重區,市立國中,1500,新北市三重區中正北路107號,02-2300-3619,低風險,27,中央廚房食材登錄平台每日食材驗收與溯源登錄稽查。；校舍樓梯走廊防墜設施、消防設備檢修合格證在效期內。
ntpc-el-0156,新北市立正義國民小學,三重區,市立國小,1750,新北市三重區信義西街31號,02-2477-2952,低風險,28,中央廚房食材登錄平台每日食材驗收與溯源登錄稽查。；校舍樓梯走廊防墜設施、消防設備檢修合格證在效期內。
ntpc-jh-0070,新北市立碧華國民中學,三重區,市立國中,1400,新北市三重區自強路五段66號,02-2593-8126,低風險,20,中央廚房食材登錄平台每日食材驗收與溯源登錄稽查。；校舍樓梯走廊防墜設施、消防設備檢修合格證在效期內。
ntpc-el-0154,新北市立碧華國民小學,三重區,市立國小,2100,新北市三重區五華街160號,02-2520-4427,高風險,75,中央廚房食材登錄平台每日食材驗收與溯源登錄稽查。；校舍樓梯走廊防墜設施、消防設備檢修合格證在效期內。
ntpc-el-0161,新北市立興華國民小學,三重區,市立國小,1500,新北市三重區中華路47號,02-2906-1378,低風險,27,中央廚房食材登錄平台每日食材驗收與溯源登錄稽查。；校舍樓梯走廊防墜設施、消防設備檢修合格證在效期內。
ntpc-el-0160,新北市立重陽國民小學,三重區,市立國小,1900,新北市三重區中正北路113號,02-2997-4443,低風險,24,中央廚房食材登錄平台每日食材驗收與溯源登錄稽查。；校舍樓梯走廊防墜設施、消防設備檢修合格證在效期內。
ntpc-el-0159,新北市立集美國民小學,三重區,市立國小,2300,新北市三重區集美街10號,02-2914-6674,中風險,57,中央廚房食材登錄平台每日食材驗收與溯源登錄稽查。；校舍樓梯走廊防墜設施、消防設備檢修合格證在效期內。
ntpc-pre-0464,新北市中和中興非營利幼兒園,中和區,非營利幼兒園,130,新北市中和區復興路280號,02-2946-6933,低風險,27,查核師生比是否符合法定標準（幼幼班 1:8、大中小班 1:15）。；核對現場教保服務人員之教師證、教保員資格備查冊。
ntpc-pre-0302,新北市中和區中和國民小學附設幼兒園,中和區,公立學校附設幼兒園,102,新北市中和區中和路100號,02-2782-3617,低風險,34,查核師生比是否符合法定標準（幼幼班 1:8、大中小班 1:15）。；核對現場教保服務人員之教師證、教保員資格備查冊。
ntpc-pre-0304,新北市中和區光復國民小學附設幼兒園,中和區,公立學校附設幼兒園,145,新北市中和區光環路二段1號,02-2205-6026,中風險,64,查核師生比是否符合法定標準（幼幼班 1:8、大中小班 1:15）。；核對現場教保服務人員之教師證、教保員資格備查冊。
ntpc-pre-0309,新北市中和區復興國民小學附設幼兒園,中和區,公立學校附設幼兒園,130,新北市中和區復興路260號,02-2341-3576,低風險,21,查核師生比是否符合法定標準（幼幼班 1:8、大中小班 1:15）。；核對現場教保服務人員之教師證、教保員資格備查冊。
ntpc-pre-0307,新北市中和區景新國民小學附設幼兒園,中和區,公立學校附設幼兒園,112,新北市中和區景新街467巷37號,02-2229-8130,低風險,30,查核師生比是否符合法定標準（幼幼班 1:8、大中小班 1:15）。；核對現場教保服務人員之教師證、教保員資格備查冊。
ntpc-pre-0303,新北市中和區秀山國民小學附設幼兒園,中和區,公立學校附設幼兒園,170,新北市中和區立人街2號,02-2544-4656,低風險,16,查核師生比是否符合法定標準（幼幼班 1:8、大中小班 1:15）。；核對現場教保服務人員之教師證、教保員資格備查冊。
ntpc-pre-0306,新北市中和區積穗國民小學附設幼兒園,中和區,公立學校附設幼兒園,130,新北市中和區員山路154號,02-2278-6948,低風險,18,查核師生比是否符合法定標準（幼幼班 1:8、大中小班 1:15）。；核對現場教保服務人員之教師證、教保員資格備查冊。
ntpc-pre-0305,新北市中和區自強國民小學附設幼兒園,中和區,公立學校附設幼兒園,167,新北市中和區莒光路190號,02-2800-7153,低風險,36,查核師生比是否符合法定標準（幼幼班 1:8、大中小班 1:15）。；核對現場教保服務人員之教師證、教保員資格備查冊。
ntpc-pre-0308,新北市中和區興南國民小學附設幼兒園,中和區,公立學校附設幼兒園,142,新北市中和區興南路一段135巷24號,02-2344-3997,高風險,86,查核師生比是否符合法定標準（幼幼班 1:8、大中小班 1:15）。；核對現場教保服務人員之教師證、教保員資格備查冊。
ntpc-pre-0310,新北市中和區錦和國民小學附設幼兒園,中和區,公立學校附設幼兒園,174,新北市中和區圓通路292號,02-2907-2147,低風險,28,查核師生比是否符合法定標準（幼幼班 1:8、大中小班 1:15）。；核對現場教保服務人員之教師證、教保員資格備查冊。
ntpc-hs-0010,新北市私立南山高級中學,中和區,私立高中,2800,新北市中和區廣福路41號,02-2591-4106,低風險,15,中央廚房食材登錄平台每日食材驗收與溯源登錄稽查。；校舍樓梯走廊防墜設施、消防設備檢修合格證在效期內。
ntpc-hs-0011,新北市私立竹林高級中學,中和區,私立高中,1500,新北市中和區華新街143巷35號,02-2596-9334,低風險,31,中央廚房食材登錄平台每日食材驗收與溯源登錄稽查。；校舍樓梯走廊防墜設施、消防設備檢修合格證在效期內。
ntpc-jh-0060,新北市立中和國民中學,中和區,市立國中,1650,新北市中和區興南路二段3巷17號,02-2873-5912,高風險,86,中央廚房食材登錄平台每日食材驗收與溯源登錄稽查。；校舍樓梯走廊防墜設施、消防設備檢修合格證在效期內。
ntpc-el-0138,新北市立中和國民小學,中和區,市立國小,2100,新北市中和區中和路100號,02-2319-6789,低風險,16,中央廚房食材登錄平台每日食材驗收與溯源登錄稽查。；校舍樓梯走廊防墜設施、消防設備檢修合格證在效期內。
ntpc-pre-0442,新北市立中和幼兒園,中和區,市立幼兒園,190,新北市中和區中和路100號,02-2886-7266,中風險,52,查核師生比是否符合法定標準（幼幼班 1:8、大中小班 1:15）。；核對現場教保服務人員之教師證、教保員資格備查冊。
ntpc-hs-0008,新北市立中和高級中學,中和區,市立高中,2150,新北市中和區連城路560號,02-2577-4360,中風險,61,中央廚房食材登錄平台每日食材驗收與溯源登錄稽查。；校舍樓梯走廊防墜設施、消防設備檢修合格證在效期內。
ntpc-el-0140,新北市立光復國民小學,中和區,市立國小,1850,新北市中和區光環路二段1號,02-2924-7436,低風險,30,中央廚房食材登錄平台每日食材驗收與溯源登錄稽查。；校舍樓梯走廊防墜設施、消防設備檢修合格證在效期內。
ntpc-el-0145,新北市立復興國民小學,中和區,市立國小,1550,新北市中和區復興路260號,02-2299-3643,中風險,55,中央廚房食材登錄平台每日食材驗收與溯源登錄稽查。；校舍樓梯走廊防墜設施、消防設備檢修合格證在效期內。
ntpc-el-0143,新北市立景新國民小學,中和區,市立國小,1650,新北市中和區景新街467巷37號,02-2515-9625,低風險,27,中央廚房食材登錄平台每日食材驗收與溯源登錄稽查。；校舍樓梯走廊防墜設施、消防設備檢修合格證在效期內。
ntpc-jh-0062,新北市立漳和國民中學,中和區,市立國中,1400,新北市中和區廣福路39號,02-2206-2642,低風險,28,中央廚房食材登錄平台每日食材驗收與溯源登錄稽查。；校舍樓梯走廊防墜設施、消防設備檢修合格證在效期內。
ntpc-el-0139,新北市立秀山國民小學,中和區,市立國小,2400,新北市中和區立人街2號,02-2518-9911,低風險,23,中央廚房食材登錄平台每日食材驗收與溯源登錄稽查。；校舍樓梯走廊防墜設施、消防設備檢修合格證在效期內。
ntpc-jh-0059,新北市立積穗國民中學,中和區,市立國中,1500,新北市中和區民安街153號,02-2604-8003,低風險,25,中央廚房食材登錄平台每日食材驗收與溯源登錄稽查。；校舍樓梯走廊防墜設施、消防設備檢修合格證在效期內。
ntpc-el-0142,新北市立積穗國民小學,中和區,市立國小,1950,新北市中和區員山路154號,02-2882-1598,低風險,17,中央廚房食材登錄平台每日食材驗收與溯源登錄稽查。；校舍樓梯走廊防墜設施、消防設備檢修合格證在效期內。
ntpc-jh-0061,新北市立自強國民中學,中和區,市立國中,1350,新北市中和區莒光路200號,02-2973-7640,低風險,23,中央廚房食材登錄平台每日食材驗收與溯源登錄稽查。；校舍樓梯走廊防墜設施、消防設備檢修合格證在效期內。
ntpc-el-0141,新北市立自強國民小學,中和區,市立國小,1750,新北市中和區莒光路190號,02-2833-9210,低風險,18,中央廚房食材登錄平台每日食材驗收與溯源登錄稽查。；校舍樓梯走廊防墜設施、消防設備檢修合格證在效期內。
ntpc-el-0144,新北市立興南國民小學,中和區,市立國小,1700,新北市中和區興南路一段135巷24號,02-2999-8851,中風險,63,中央廚房食材登錄平台每日食材驗收與溯源登錄稽查。；校舍樓梯走廊防墜設施、消防設備檢修合格證在效期內。
ntpc-el-0146,新北市立錦和國民小學,中和區,市立國小,1600,新北市中和區圓通路292號,02-2876-2009,低風險,29,中央廚房食材登錄平台每日食材驗收與溯源登錄稽查。；校舍樓梯走廊防墜設施、消防設備檢修合格證在效期內。
ntpc-hs-0009,新北市立錦和高級中學,中和區,市立高中,1950,新北市中和區錦和路163號,02-2507-4215,低風險,28,中央廚房食材登錄平台每日食材驗收與溯源登錄稽查。；校舍樓梯走廊防墜設施、消防設備檢修合格證在效期內。
ntpc-pre-0398,新北市五股區五股國民小學附設幼兒園,五股區,公立學校附設幼兒園,193,新北市五股區成泰路二段49號,02-2353-8580,低風險,31,查核師生比是否符合法定標準（幼幼班 1:8、大中小班 1:15）。；核對現場教保服務人員之教師證、教保員資格備查冊。
ntpc-pre-0399,新北市五股區德音國民小學附設幼兒園,五股區,公立學校附設幼兒園,178,新北市五股區明德路2號,02-2930-2665,高風險,77,查核師生比是否符合法定標準（幼幼班 1:8、大中小班 1:15）。；核對現場教保服務人員之教師證、教保員資格備查冊。
ntpc-pre-0400,新北市五股區成州國民小學附設幼兒園,五股區,公立學校附設幼兒園,191,新北市五股區成泰路三段493號,02-2846-6775,低風險,18,查核師生比是否符合法定標準（幼幼班 1:8、大中小班 1:15）。；核對現場教保服務人員之教師證、教保員資格備查冊。
ntpc-pre-0401,新北市五股區更寮國民小學附設幼兒園,五股區,公立學校附設幼兒園,161,新北市五股區四維路2號,02-2476-5919,低風險,32,查核師生比是否符合法定標準（幼幼班 1:8、大中小班 1:15）。；核對現場教保服務人員之教師證、教保員資格備查冊。
ntpc-jh-0097,新北市立五股國民中學,五股區,市立國中,1300,新北市五股區成泰路二段98號,02-2408-7394,低風險,34,中央廚房食材登錄平台每日食材驗收與溯源登錄稽查。；校舍樓梯走廊防墜設施、消防設備檢修合格證在效期內。
ntpc-el-0234,新北市立五股國民小學,五股區,市立國小,1950,新北市五股區成泰路二段49號,02-2322-3154,低風險,26,中央廚房食材登錄平台每日食材驗收與溯源登錄稽查。；校舍樓梯走廊防墜設施、消防設備檢修合格證在效期內。
ntpc-el-0235,新北市立德音國民小學,五股區,市立國小,1800,新北市五股區明德路2號,02-2900-4715,低風險,33,中央廚房食材登錄平台每日食材驗收與溯源登錄稽查。；校舍樓梯走廊防墜設施、消防設備檢修合格證在效期內。
ntpc-el-0236,新北市立成州國民小學,五股區,市立國小,1650,新北市五股區成泰路三段493號,02-2559-8302,低風險,24,中央廚房食材登錄平台每日食材驗收與溯源登錄稽查。；校舍樓梯走廊防墜設施、消防設備檢修合格證在效期內。
ntpc-el-0237,新北市立更寮國民小學,五股區,市立國小,1350,新北市五股區四維路2號,02-2562-3232,低風險,24,中央廚房食材登錄平台每日食材驗收與溯源登錄稽查。；校舍樓梯走廊防墜設施、消防設備檢修合格證在效期內。
ntpc-pre-0406,新北市八里區八里國民小學附設幼兒園,八里區,公立學校附設幼兒園,155,新北市八里區中山路二段338號,02-2371-9762,低風險,24,查核師生比是否符合法定標準（幼幼班 1:8、大中小班 1:15）。；核對現場教保服務人員之教師證、教保員資格備查冊。
ntpc-pre-0408,新北市八里區大崁國民小學附設幼兒園,八里區,公立學校附設幼兒園,93,新北市八里區忠四街2號,02-2352-3465,低風險,24,查核師生比是否符合法定標準（幼幼班 1:8、大中小班 1:15）。；核對現場教保服務人員之教師證、教保員資格備查冊。
